epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,3813.61,1.31527,2.55407,1.44696,0.01096,1.17082,0.64635,0.57852,0.60931,0.38235,0.58579,0.5165,0.50367,0.26031,1.37818,2.34264,1.49944,0.0165,0,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
23,3986.24,1.31628,2.54411,1.42908,0.01103,1.17055,0.62523,0.59871,0.61498,0.39312,0.55193,0.5319,0.5039,0.26484,1.36799,2.27527,1.46606,0.01629,0,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
24,4158.77,1.30463,2.54417,1.43144,0.01082,1.15205,0.6316,0.57067,0.60934,0.39251,0.55663,0.49,0.46383,0.23825,1.38986,2.30764,1.47189,0.01621,0,0.0295713,0.00985711,0.0295713,0.00985711,0.0295713,0.00985711,0.0295713,0.00985711
25,4330.88,1.28517,2.5094,1.40369,0.01065,1.13224,0.6354,0.57989,0.62574,0.40467,0.56729,0.51144,0.5026,0.26854,1.35903,2.31761,1.4563,0.01574,0,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
26,4504.16,1.29824,2.53706,1.41002,0.01082,1.15924,0.61662,0.61005,0.63501,0.40939,0.56021,0.53231,0.51102,0.26622,1.35988,2.24509,1.40201,0.01627,0,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133
27,4676.8,1.2794,2.47613,1.37519,0.01054,1.10363,0.63367,0.5834,0.62655,0.40454,0.58821,0.51248,0.51424,0.27318,1.35832,2.2359,1.43196,0.016,0,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
28,4850.36,1.29239,2.48887,1.38182,0.01049,1.10281,0.6201,0.5874,0.6161,0.39388,0.55426,0.52226,0.50347,0.26549,1.38459,2.31206,1.44741,0.01668,0,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
29,5023.22,1.28517,2.44649,1.37168,0.01055,1.07827,0.66135,0.54724,0.61162,0.3911,0.59804,0.48354,0.49253,0.25037,1.3491,2.31757,1.53206,0.01619,0,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
30,5195.46,1.27029,2.46958,1.34508,0.01041,1.04476,0.69469,0.54807,0.60777,0.39493,0.59855,0.48432,0.48234,0.25739,1.38217,2.39001,1.50171,0.01583,0,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349
31,5368.72,1.26312,2.42874,1.33922,0.01026,1.03858,0.64675,0.5982,0.62893,0.4037,0.60985,0.50839,0.52128,0.28177,1.37546,2.36859,1.46181,0.01655,0,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
32,5541.96,1.26892,2.43723,1.33101,0.01028,1.04671,0.65465,0.57924,0.6229,0.40511,0.57439,0.52533,0.5152,0.27254,1.31721,2.28588,1.44829,0.01488,0,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145
33,5715,1.244,2.41948,1.31112,0.01017,1.02013,0.63547,0.61664,0.64147,0.41673,0.59979,0.53304,0.53488,0.28738,1.34043,2.23505,1.39139,0.01566,0,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
34,5888.03,1.24597,2.4111,1.3149,0.01013,1.02367,0.59542,0.60943,0.61944,0.41359,0.5942,0.50722,0.50574,0.27459,1.31536,2.21604,1.41966,0.01525,0,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
35,6061.3,1.24927,2.42617,1.30619,0.01018,1.00409,0.6638,0.59552,0.64163,0.42813,0.61637,0.52587,0.52895,0.29094,1.3145,2.25148,1.35743,0.01511,0,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
36,6233.5,1.2422,2.39959,1.31222,0.01013,1.01536,0.61577,0.60546,0.61668,0.39401,0.584,0.51046,0.50106,0.26249,1.3561,2.27834,1.57519,0.01659,0,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122
37,6405.67,1.23335,2.38481,1.29234,0.01003,1.00683,0.62031,0.5727,0.62299,0.40712,0.61711,0.4942,0.51232,0.26293,1.32895,2.2457,1.38951,0.01537,0,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
38,6578.32,1.24984,2.38255,1.30686,0.01016,1.00642,0.65561,0.59643,0.64253,0.42974,0.5921,0.52651,0.5246,0.28314,1.29629,2.22888,1.35151,0.0152,0,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306
39,6750.66,1.24868,2.38874,1.28525,0.01,0.99994,0.62566,0.61538,0.64132,0.42353,0.571,0.54878,0.52746,0.28186,1.32576,2.27431,1.39586,0.01536,0,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
40,6923.33,1.22687,2.33506,1.2577,0.0099,0.96761,0.64498,0.5998,0.63638,0.42606,0.58407,0.53415,0.51874,0.27597,1.29366,2.28474,1.43331,0.01475,0,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
41,7096.95,1.22664,2.35334,1.26169,0.00979,0.95874,0.67968,0.616,0.66251,0.44188,0.63562,0.55119,0.55799,0.3006,1.30199,2.23714,1.36263,0.01503,0,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
42,7269.7,1.23024,2.34486,1.25386,0.00956,0.97145,0.65619,0.59656,0.63489,0.41367,0.58188,0.53768,0.51524,0.26684,1.3215,2.24224,1.44963,0.01549,0,0.0286522,0.00955072,0.0286522,0.00955072,0.0286522,0.00955072,0.0286522,0.00955072
43,7442.53,1.21378,2.32102,1.23834,0.0097,0.95037,0.65941,0.59613,0.6461,0.44178,0.66335,0.503,0.53486,0.29568,1.27114,2.22424,1.3593,0.01424,0,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
44,7615.65,1.22871,2.32712,1.24997,0.00956,0.92543,0.66124,0.606,0.64841,0.43579,0.5893,0.54253,0.52124,0.27794,1.25904,2.28951,1.45372,0.01429,0,0.0285197,0.00950658,0.0285197,0.00950658,0.0285197,0.00950658,0.0285197,0.00950658
45,7788.15,1.20255,2.30175,1.22181,0.00957,0.90514,0.65423,0.61785,0.64489,0.43332,0.61776,0.52598,0.52468,0.28516,1.28356,2.21725,1.35354,0.01466,0,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
