epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,884.93,1.39743,2.47131,1.40109,0.0102,0.9927,0.57574,0.52236,0.53944,0.30813,0.53192,0.46753,0.43774,0.20874,1.56953,2.53454,1.7118,0.01784,0,0.0015556,0.0015556,0.0015556
29,913.393,1.39187,2.33896,1.39324,0.00951,1.0436,0.61649,0.53333,0.56241,0.32257,0.56456,0.4845,0.48595,0.24015,1.5223,2.57866,1.60212,0.01789,0,0.00155148,0.00155148,0.00155148
30,944.416,1.33075,2.4178,1.38221,0.00988,1.03724,0.58617,0.55702,0.57603,0.33637,0.52309,0.51314,0.44955,0.21227,1.53468,2.56593,1.59976,0.01767,0,0.00154735,0.00154735,0.00154735
31,973.27,1.36381,2.3805,1.36947,0.00953,1.00203,0.60643,0.55612,0.58204,0.35822,0.55128,0.48833,0.48706,0.24165,1.47454,2.50909,1.50225,0.0169,0,0.00154323,0.00154323,0.00154323
32,1003.48,1.29593,2.33254,1.29836,0.00913,0.95504,0.59735,0.5722,0.58316,0.35104,0.4804,0.51948,0.43482,0.21503,1.46871,2.57994,1.5355,0.0162,0,0.0015391,0.0015391,0.0015391
33,1032.54,1.32387,2.37585,1.3128,0.00919,0.95799,0.65256,0.55275,0.59312,0.3522,0.56083,0.49003,0.47013,0.24333,1.46081,2.5561,1.53098,0.01689,0,0.00153497,0.00153497,0.00153497
34,1062.19,1.35478,2.3334,1.35637,0.00921,1.01399,0.57837,0.53852,0.53396,0.31251,0.54563,0.49069,0.45814,0.21958,1.48964,2.54445,1.66312,0.01735,0,0.00153085,0.00153085,0.00153085
35,1091.52,1.33005,2.32024,1.31127,0.00947,0.94889,0.59613,0.53629,0.56197,0.31966,0.55316,0.47459,0.46236,0.21897,1.53305,2.65008,1.61459,0.01815,0,0.00152672,0.00152672,0.00152672
36,1122.06,1.31722,2.26599,1.31618,0.00953,0.97223,0.60437,0.57094,0.5903,0.34641,0.54547,0.50676,0.47884,0.23319,1.48195,2.46655,1.5493,0.01761,0,0.0015226,0.0015226,0.0015226
37,1150.8,1.30822,2.31134,1.28921,0.00933,0.94055,0.63332,0.54105,0.58764,0.35151,0.5759,0.51204,0.50839,0.25882,1.50046,2.55519,1.53269,0.01703,0,0.00151847,0.00151847,0.00151847
38,1180.38,1.30912,2.28982,1.28481,0.00889,0.94093,0.64494,0.56057,0.59265,0.35397,0.61096,0.50856,0.52401,0.27925,1.51428,2.4627,1.50141,0.01749,0,0.00151434,0.00151434,0.00151434
39,1210.9,1.31561,2.33004,1.29823,0.00886,0.92784,0.63789,0.54273,0.5869,0.36681,0.58852,0.49212,0.48743,0.25478,1.44049,2.57565,1.55739,0.01616,0,0.00151022,0.00151022,0.00151022
40,1241.23,1.33282,2.33038,1.29633,0.00917,0.94793,0.68849,0.519,0.59964,0.37252,0.63181,0.47686,0.5077,0.27256,1.43451,2.46522,1.52641,0.0161,0,0.00150609,0.00150609,0.00150609
41,1270.79,1.29337,2.25555,1.27205,0.00902,0.89695,0.59735,0.56711,0.58127,0.35486,0.5476,0.52188,0.48683,0.24941,1.44886,2.46367,1.55698,0.01666,0,0.00150197,0.00150197,0.00150197
42,1301.24,1.31469,2.25436,1.2984,0.00908,0.97711,0.57033,0.59878,0.59349,0.37043,0.53842,0.54245,0.50677,0.24841,1.45151,2.49075,1.51876,0.01643,0,0.00149784,0.00149784,0.00149784
43,1330.14,1.30224,2.29613,1.29013,0.0088,0.91811,0.64098,0.54901,0.57863,0.34788,0.58816,0.50838,0.48708,0.25913,1.49662,2.38121,1.58359,0.01684,0,0.00149372,0.00149372,0.00149372
44,1359.47,1.28681,2.20249,1.26094,0.00875,0.91836,0.63386,0.54352,0.58139,0.35894,0.60497,0.49768,0.48827,0.25006,1.47802,2.51778,1.5021,0.01648,0,0.00148959,0.00148959,0.00148959
45,1387.91,1.27597,2.27606,1.25093,0.00911,0.94619,0.59156,0.60002,0.57403,0.3608,0.52915,0.55857,0.48953,0.24946,1.44451,2.47644,1.49976,0.01633,0,0.00148546,0.00148546,0.00148546
46,1417.24,1.31265,2.22544,1.26574,0.00924,0.95772,0.60472,0.52951,0.55986,0.3417,0.54963,0.49998,0.48668,0.24981,1.49519,2.55115,1.55106,0.01759,0,0.00148134,0.00148134,0.00148134
47,1446.36,1.34712,2.25831,1.29354,0.00962,0.94046,0.55464,0.58174,0.55443,0.3309,0.53867,0.5302,0.48675,0.24166,1.50736,2.62054,1.67318,0.01758,0,0.00147721,0.00147721,0.00147721
48,1475.86,1.28704,2.29144,1.28588,0.0096,0.94463,0.64753,0.56875,0.60993,0.37275,0.60465,0.51487,0.50647,0.26773,1.46563,2.4388,1.53658,0.01639,0,0.00147309,0.00147309,0.00147309
49,1505.25,1.30234,2.24704,1.25128,0.00887,0.88901,0.59284,0.59971,0.59306,0.37648,0.54941,0.54944,0.50341,0.2565,1.40346,2.42571,1.47686,0.01532,0,0.00146896,0.00146896,0.00146896
50,1534.8,1.27489,2.22402,1.23293,0.00879,0.87877,0.56744,0.60067,0.58429,0.34943,0.54135,0.51893,0.4823,0.24514,1.50669,2.48866,1.53265,0.01773,0,0.00146483,0.00146483,0.00146483
51,1565.39,1.29375,2.17081,1.24073,0.00839,0.90877,0.64423,0.55884,0.60354,0.38128,0.55064,0.53736,0.50105,0.2716,1.4246,2.3862,1.4711,0.01582,0,0.00146071,0.00146071,0.00146071
52,1595.65,1.28867,2.18865,1.22341,0.00873,0.88963,0.63332,0.59322,0.59632,0.36929,0.60363,0.54545,0.51195,0.25876,1.42371,2.49876,1.46659,0.01631,0,0.00145658,0.00145658,0.00145658
53,1624.7,1.27254,2.19848,1.23987,0.00895,0.86219,0.65634,0.55452,0.61255,0.38146,0.59801,0.50931,0.50857,0.25555,1.44112,2.46062,1.45917,0.01609,0,0.00145246,0.00145246,0.00145246
54,1655.36,1.27194,2.22614,1.24722,0.00859,0.93188,0.63797,0.55905,0.58306,0.35586,0.61809,0.51042,0.51136,0.26912,1.4497,2.46865,1.5692,0.01654,0,0.00144833,0.00144833,0.00144833
55,1684.99,1.28287,2.15169,1.2109,0.00842,0.8579,0.63673,0.54407,0.58457,0.35545,0.54524,0.48271,0.43906,0.20522,1.43507,2.49819,1.60114,0.01647,0,0.00144421,0.00144421,0.00144421
56,1714.13,1.28897,2.19807,1.23344,0.00833,0.86799,0.6723,0.56296,0.59679,0.36639,0.61188,0.52215,0.50232,0.25924,1.4349,2.43845,1.52707,0.01596,0,0.00144008,0.00144008,0.00144008
57,1740.91,1.25813,2.1398,1.214,0.00839,0.89736,0.64663,0.56636,0.6019,0.37233,0.5976,0.53681,0.51407,0.27232,1.41752,2.46745,1.48681,0.01603,0,0.00143595,0.00143595,0.00143595
58,1769.87,1.25323,2.16662,1.22006,0.00885,0.90213,0.59942,0.58169,0.59209,0.37295,0.56393,0.53596,0.50091,0.25835,1.4335,2.3757,1.47439,0.01581,0,0.00143183,0.00143183,0.00143183
59,1799,1.24496,2.1467,1.19939,0.00838,0.89139,0.63111,0.5479,0.58879,0.36521,0.58607,0.51257,0.49915,0.26523,1.44047,2.49475,1.56174,0.01601,0,0.0014277,0.0014277,0.0014277
60,1827.72,1.25553,2.17611,1.23274,0.00886,0.93617,0.63159,0.57771,0.60308,0.3795,0.59398,0.54633,0.52859,0.28676,1.44681,2.41854,1.48433,0.01619,0,0.00142358,0.00142358,0.00142358
61,1856.21,1.24767,2.13865,1.17478,0.00824,0.8633,0.64268,0.56087,0.59982,0.38411,0.57637,0.5184,0.50809,0.2785,1.38132,2.45776,1.53299,0.0151,0,0.00141945,0.00141945,0.00141945
62,1884.31,1.26107,2.12176,1.19533,0.0084,0.8639,0.58582,0.61657,0.62016,0.38371,0.52229,0.56228,0.50982,0.26865,1.42053,2.4563,1.4766,0.01592,0,0.00141532,0.00141532,0.00141532
63,1914.38,1.22153,2.0905,1.1791,0.00824,0.86799,0.61964,0.59288,0.61103,0.38177,0.55764,0.53604,0.49642,0.26839,1.43894,2.46324,1.46212,0.01588,0,0.0014112,0.0014112,0.0014112
64,1942.99,1.23283,2.10071,1.20572,0.00844,0.87781,0.66951,0.5613,0.60854,0.37759,0.61673,0.51628,0.51919,0.27703,1.43583,2.42198,1.50825,0.01648,0,0.00140707,0.00140707,0.00140707
65,1973.8,1.28765,2.17106,1.22734,0.00835,0.85644,0.64333,0.56984,0.60874,0.37419,0.58278,0.51803,0.4801,0.24325,1.42108,2.39128,1.49833,0.01517,0,0.00140295,0.00140295,0.00140295
66,2002.24,1.23888,2.09721,1.1861,0.00864,0.84233,0.65895,0.60188,0.61235,0.37709,0.59598,0.54027,0.4946,0.24859,1.44103,2.57062,1.51462,0.01631,0,0.00139882,0.00139882,0.00139882
67,2030.54,1.22281,2.05146,1.16867,0.00846,0.83848,0.64707,0.60961,0.62982,0.39559,0.59053,0.55121,0.52231,0.26495,1.40327,2.40154,1.42678,0.01515,0,0.0013947,0.0013947,0.0013947
68,2061.24,1.25019,2.09354,1.18929,0.008,0.82569,0.64771,0.57232,0.60519,0.38113,0.63765,0.49221,0.51388,0.27039,1.38755,2.32362,1.44244,0.0154,0,0.00139057,0.00139057,0.00139057
69,2089.73,1.21911,2.07643,1.17489,0.00815,0.80881,0.62957,0.57679,0.5924,0.37221,0.58633,0.5186,0.49453,0.25647,1.41389,2.59884,1.4824,0.01595,0,0.00138644,0.00138644,0.00138644
70,2118.97,1.21546,2.10654,1.15574,0.00833,0.80421,0.66561,0.54981,0.59116,0.37288,0.62395,0.50009,0.49159,0.2542,1.37882,2.60258,1.53657,0.01546,0,0.00138232,0.00138232,0.00138232
71,2150.62,1.19893,2.07336,1.13902,0.00822,0.82347,0.61459,0.56833,0.58825,0.34899,0.56876,0.51632,0.48134,0.25467,1.45088,2.4179,1.61984,0.01673,0,0.00137819,0.00137819,0.00137819
72,2179.27,1.22269,2.08551,1.16577,0.0081,0.81298,0.62642,0.60922,0.62829,0.39346,0.57111,0.56732,0.52849,0.28927,1.42168,2.45012,1.43156,0.01558,0,0.00137407,0.00137407,0.00137407
73,2210.01,1.23324,2.09941,1.14348,0.00777,0.78284,0.6631,0.58627,0.63527,0.40038,0.60618,0.5437,0.5175,0.28313,1.39883,2.45785,1.43526,0.0153,0,0.00136994,0.00136994,0.00136994
74,2239.53,1.19359,2.06672,1.13834,0.00783,0.81751,0.66826,0.57052,0.60533,0.38488,0.64025,0.52105,0.52339,0.28672,1.39387,2.36717,1.47725,0.01557,0,0.00136581,0.00136581,0.00136581
75,2270.01,1.215,2.02903,1.14654,0.00816,0.87168,0.70686,0.55131,0.62205,0.39182,0.64297,0.50099,0.51207,0.27403,1.37923,2.40514,1.44014,0.01541,0,0.00136169,0.00136169,0.00136169
76,2300.07,1.21672,2.04179,1.14749,0.00802,0.78167,0.63756,0.63423,0.65172,0.41779,0.60029,0.57719,0.54128,0.2883,1.36827,2.40366,1.39028,0.01506,0,0.00135756,0.00135756,0.00135756
77,2329.02,1.2143,2.08187,1.14366,0.00773,0.79472,0.6446,0.58488,0.60476,0.38198,0.57333,0.5202,0.48622,0.25695,1.3714,2.40488,1.49918,0.01537,0,0.00135344,0.00135344,0.00135344
78,2359.1,1.20269,2.06819,1.10853,0.00792,0.78917,0.62607,0.60685,0.62005,0.3894,0.53872,0.52062,0.47909,0.24558,1.35342,2.60142,1.46674,0.01523,0,0.00134931,0.00134931,0.00134931
79,2388.26,1.2005,2.03422,1.09796,0.00792,0.78012,0.64237,0.59238,0.6217,0.39748,0.57879,0.53701,0.51141,0.26524,1.38627,2.49267,1.43701,0.01554,0,0.00134519,0.00134519,0.00134519
80,2417.93,1.2154,2.03634,1.13352,0.00813,0.81129,0.67552,0.59176,0.62272,0.40199,0.62887,0.52338,0.51545,0.27477,1.41063,2.59412,1.43464,0.01653,0,0.00134106,0.00134106,0.00134106
81,2447.64,1.19003,2.02556,1.11253,0.00788,0.81931,0.66368,0.59306,0.6222,0.4008,0.61456,0.53563,0.5285,0.28183,1.38677,2.43509,1.45241,0.0154,0,0.00133693,0.00133693,0.00133693
82,2477.77,1.20021,1.98786,1.09,0.00776,0.76385,0.6768,0.58342,0.62314,0.41094,0.63309,0.53399,0.5259,0.27228,1.3841,2.45527,1.41739,0.01548,0,0.00133281,0.00133281,0.00133281
83,2507.56,1.19504,2.00398,1.10583,0.00781,0.77704,0.64284,0.57994,0.61278,0.39445,0.60425,0.5452,0.52601,0.28624,1.40626,2.60959,1.49206,0.01578,0,0.00132868,0.00132868,0.00132868
84,2537.58,1.21209,2.01434,1.13503,0.00802,0.79731,0.63021,0.58929,0.61141,0.38945,0.58871,0.53383,0.5183,0.281,1.37504,2.4519,1.47924,0.0147,0,0.00132456,0.00132456,0.00132456
85,2567.85,1.21261,2.04281,1.14092,0.00777,0.81635,0.62787,0.61067,0.61348,0.39756,0.56984,0.53354,0.50111,0.25106,1.37134,2.39454,1.45391,0.01447,0,0.00132043,0.00132043,0.00132043
86,2597.13,1.20663,2.01665,1.08402,0.00782,0.78567,0.68023,0.55041,0.61132,0.38159,0.58733,0.48615,0.46286,0.23505,1.37832,2.67342,1.51593,0.01537,0,0.0013163,0.0013163,0.0013163
87,2626.23,1.18817,2.03275,1.12145,0.00785,0.82188,0.61318,0.61254,0.60898,0.39663,0.60071,0.53929,0.52712,0.28222,1.39022,2.61649,1.51649,0.01547,0,0.00131218,0.00131218,0.00131218
88,2654.81,1.19878,2.01494,1.10781,0.00798,0.80426,0.67602,0.56445,0.59998,0.37993,0.59496,0.53248,0.51258,0.26433,1.39651,2.49232,1.51135,0.01561,0,0.00130805,0.00130805,0.00130805
89,2684.56,1.16455,2.01925,1.09363,0.00771,0.73721,0.67058,0.56802,0.61209,0.3957,0.63609,0.51846,0.5054,0.26597,1.35727,2.56343,1.46102,0.01502,0,0.00130393,0.00130393,0.00130393
90,2713.39,1.19948,1.99813,1.07923,0.00775,0.76056,0.65509,0.59213,0.60565,0.39334,0.59945,0.54381,0.49432,0.26564,1.39392,2.49121,1.43524,0.01559,0,0.0012998,0.0012998,0.0012998
91,2742.28,1.21137,1.98911,1.08401,0.00773,0.77031,0.6598,0.60324,0.6186,0.40632,0.59673,0.53262,0.49321,0.26095,1.37313,2.69456,1.44258,0.01459,0,0.00129568,0.00129568,0.00129568
92,2772.89,1.20063,2.01235,1.09518,0.00778,0.75231,0.65584,0.57085,0.60532,0.3833,0.58999,0.5308,0.50204,0.26907,1.39727,2.44392,1.43196,0.01527,0,0.00129155,0.00129155,0.00129155
